"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"105","0.016978661219278973","0.000277494941638","0.000124099510583","0.0167285947024 - 0.0172287277361","0.0166596532714 - 0.0172976691671"
"106","0.017177025477091473","0.000365824873263","0.000163601856895","0.0168473598216 - 0.0175066911326","0.0167564735153 - 0.0175975774389"
"107","0.01780589421590169","0.00047338509044","0.000211704248352","0.0173792999148 - 0.018232488517","0.0172616911204 - 0.0183500973114"
"108","0.017889221509297688","0.000190438667261","8.5166761108e-05","0.0177176063659 - 0.0180608366527","0.0176702933801 - 0.0181081496385"
"109","0.01794910430908203","0.000202031858033","9.03513936366e-05","0.0177670418804 - 0.0181311667378","0.0177168486577 - 0.0181813599605"
"110","0.021803776423136394","0.00297667763018","0.00133121070564","0.0191213224571 - 0.0244862303892","0.0183817903625 - 0.0252257624838"
"111","0.022655804951985676","0.00210312400707","0.000940545648983","0.0207605599726 - 0.0245510499314","0.0202380553902 - 0.0250735545138"
"112","0.02205181121826172","0.00236054443702","0.00105566756502","0.0199245900093 - 0.0241790324272","0.0193381313501 - 0.0247654910864"
"113","0.021176973978678387","0.000269562708724","0.000120552108181","0.0209340556493 - 0.0214198923081","0.020867084919 - 0.0214868630383"
"114","0.022273461023966473","0.00106014825575","0.000474112713218","0.0213181009727 - 0.0232288210752","0.0210547154949 - 0.0234922065531"
"115","0.020823319753011067","0.00039257419194","0.000175564515878","0.020469548761 - 0.021177090745","0.0203720167973 - 0.0212746227087"
"116","0.021404504776000977","0.000356050749051","0.000159230735664","0.0210836471412 - 0.0217253624108","0.0209951891391 - 0.0218138204129"
"117","0.021551052729288738","0.000312952386017","0.000139956561771","0.0212690334872 - 0.0218330719713","0.0211912829337 - 0.0219108225249"
"118","0.02413066228230794","0.00132849140467","0.000594119417675","0.0229334829166 - 0.0253278416481","0.0226034296985 - 0.0256578948662"
"119","0.022497177124023438","0.00103481453758","0.000462783130025","0.021564646731 - 0.0234297075171","0.0213075552157 - 0.0236867990324"
"120","0.022118171056111652","0.000635068447326","0.000284011243717","0.0215458746616 - 0.0226904674506","0.0213880969116 - 0.0228482452006"
"121","0.022400577863057453","0.000523962486171","0.000234323147348","0.0219284053863 - 0.0228727503398","0.0217982310366 - 0.0230029246895"
"122","0.022959311803181965","0.000482016973612","0.000215564543861","0.0225249388199 - 0.0233936847865","0.0224051855021 - 0.0235134381042"
"123","0.023209134737650555","0.000417509201057","0.000186715790959","0.0228328933869 - 0.0235853760884","0.0227291665168 - 0.0236891029585"
"124","0.023791392644246418","0.000236940077898","0.000105962824155","0.0235778724279 - 0.0240049128606","0.0235190065331 - 0.0240637787554"
"125","0.024366219838460285","0.000877943882343","0.00039262844027","0.0235750545388 - 0.0251573851381","0.0233569363014 - 0.0253755033756"
"126","0.02654866377512614","0.00151893060295","0.000679286416261","0.0251798687875 - 0.0279174587628","0.0248025024516 - 0.0282948250986"
"127","0.02655208110809326","0.00117004295827","0.000523259118258","0.0254976886734 - 0.0276064735428","0.0252070007229 - 0.0278971614933"
"128","0.02630293369293213","0.0013150465979","0.000588106717295","0.0251178702093 - 0.0274879971766","0.0247911572475 - 0.0278147101384"
"129","0.02623915672302246","0.00035333684367","0.00015801704028","0.0259207447432 - 0.0265575687029","0.0258329609894 - 0.0266453524566"
"130","0.027118762334187824","0.000238954722724","0.000106863800711","0.0269034266065 - 0.0273340980619","0.0268440601891 - 0.0273934644793"
"131","0.026694297790527344","0.00058629660754","0.000262199813887","0.0261659524822 - 0.0272226430988","0.0260202917114 - 0.0273683038697"
"132","0.028780698776245117","0.00170461982402","0.000762329160459","0.027244568642 - 0.0303168289105","0.0268210692828 - 0.0307403282696"
"133","0.0334852933883667","0.00490211237197","0.00219229129941","0.0290677203731 - 0.0379028664037","0.0278498291935 - 0.0391207575832"
"134","0.02783966064453125","0.00075755317818","0.000338788080596","0.027156986274 - 0.028522335015","0.0269687781581 - 0.028710543131"
"135","0.02825907866160075","0.00110717178379","0.000495142274263","0.0272613430276 - 0.0292568142956","0.0269862749248 - 0.0295318823984"
"136","0.02814940611521403","0.000492867688487","0.000220417131074","0.0277052549339 - 0.0285935572965","0.0275828058416 - 0.0287160063888"
"137","0.030019521713256836","0.00187025763626","0.000836404642025","0.0283341259005 - 0.0317049175261","0.0278694751324 - 0.0321695682941"
"138","0.03215189774831136","0.00172532485905","0.000771588733621","0.0305971091263 - 0.0337066863704","0.0301684657643 - 0.0341353297323"
"139","0.03186615308125814","0.00097594762059","0.000436457044424","0.0309866710242 - 0.0327456351384","0.0307442045304 - 0.0329881016321"
"140","0.032110373179117836","0.00151839756555","0.000679048034688","0.0307420585419 - 0.0334786878164","0.030364824635 - 0.0338559217233"
"141","0.03050859769185384","0.000103061714699","4.60905999891e-05","0.0304157229034 - 0.0306014724804","0.0303901180327 - 0.030627077351"
"142","0.03161458174387614","0.00119366447977","0.00053382298382","0.030538902609 - 0.0326902608787","0.0302423460777 - 0.0329868174101"
"143","0.03315277894337972","0.00115548412124","0.000516748208402","0.032111506307 - 0.0341940515798","0.0318244353848 - 0.034481122502"
"144","0.031991283098856606","0.000684838633184","0.000306269147483","0.0313741359516 - 0.0326084302461","0.0312039931912 - 0.0327785730065"
"145","0.03299029668172201","0.0011448155174","0.000511977063723","0.0319586381326 - 0.0340219552308","0.031674217741 - 0.0343063756225"
"146","0.034527222315470375","0.000944655436387","0.000422462754215","0.0336759394301 - 0.0353785052009","0.0334412472328 - 0.0356131973981"
"147","0.033716718355814614","0.000843984836032","0.000377441493069","0.0329561554894 - 0.0344772812222","0.0327464741093 - 0.0346869626023"
"148","0.036110639572143555","0.00248115183118","0.0011096048314","0.0338747321623 - 0.038346546982","0.0332583095467 - 0.0389629695976"
"149","0.03601515293121338","0.00173709090577","0.000776850669679","0.0344497612535 - 0.037580544609","0.03401819471 - 0.0380121111525"
"150","0.0352781613667806","0.00168235177855","0.00075237058778","0.0337620982382 - 0.0367942244953","0.0333441311994 - 0.0372121915341"
"151","0.035534063975016274","0.00100481527055","0.000449367049956","0.0346285676323 - 0.0364395603178","0.0343789291984 - 0.0366891987516"
"152","0.03862273693084717","0.00262449215278","0.00117370857201","0.0362576573828 - 0.0409878164789","0.0356056229942 - 0.0416398508675"
"153","0.03733821709950765","0.00110267598274","0.000493131690911","0.0363445328882 - 0.0383319013108","0.0360705817318 - 0.0386058524672"
"154","0.0356062650680542","0.000411422161912","0.000183993584297","0.0352355090954 - 0.0359770210407","0.0351332945022 - 0.0360792356339"
"155","0.03710647424062093","0.00177013741679","0.000791629518694","0.0355113024672 - 0.038701646014","0.0350715257785 - 0.0391414227027"
"156","0.037209391593933105","0.000727091413592","0.00032516516533","0.0365541680567 - 0.0378646151312","0.036373527926 - 0.0380452552618"
"157","0.03744216759999593","0.0025060911209","0.00112075802083","0.035183785974 - 0.039700549226","0.0345611673884 - 0.0403231678116"
"158","0.04057387510935465","0.00212155819074","0.000948789666543","0.0386620180358 - 0.0424857321829","0.0381349336258 - 0.0430128165929"
"159","0.03964106241861979","0.00127489680348","0.000570151183376","0.0384921802044 - 0.0407899446329","0.0381754421425 - 0.0411066826947"
"160","0.04002650578816732","0.000678731782941","0.000303538081029","0.0394148618719 - 0.0406381497044","0.0392462363104 - 0.040806775266"
"161","0.04101669788360596","0.00165188163415","0.000738743924948","0.0395280931398 - 0.0425053026274","0.0391176961682 - 0.042915699599"
"162","0.04070417086283366","0.000905016258763","0.000404735575067","0.0398886091009 - 0.0415197326247","0.0396637649449 - 0.0417445767807"
"163","0.040678183237711586","0.000568900730625","0.000254420141225","0.0401655143462 - 0.0411908521293","0.0400241754438 - 0.0413321910316"
"164","0.04237794876098633","0.00115587931954","0.000516924946453","0.0413363199888 - 0.0434195775331","0.0410491508827 - 0.0437067466392"
"165","0.04290906588236491","0.00186396524783","0.000833590600368","0.0412293404996 - 0.0445887912651","0.0407662530259 - 0.0450518787388"
"166","0.04264716307322184","0.00200932053986","0.000898595463141","0.0408364497475 - 0.0444578763989","0.0403372498972 - 0.0449570762492"
"167","0.04420614242553711","0.00213784181189","0.000956071923305","0.0422796112523 - 0.0461326735987","0.041748481305 - 0.0466638035461"
"168","0.04411121209462484","0.00106673504875","0.000477058416598","0.0431499163086 - 0.0450725078807","0.0428848943939 - 0.0453375297953"
"169","0.04572232564290365","0.00166571460454","0.000744930217371","0.0442212552206 - 0.0472233960652","0.0438074215566 - 0.0476372297292"
"170","0.044174512227376304","0.000764948596876","0.000342095412382","0.0434851734234 - 0.0448638510314","0.0432951279739 - 0.0450538964808"
"171","0.04519196351369222","0.00134133604253","0.000599863714352","0.0439832091123 - 0.0464007179151","0.0436499647451 - 0.0467339622823"
"172","0.049783905347188316","0.00225933748044","0.00101040643807","0.0477478874984 - 0.051819923196","0.0471865729099 - 0.0523812377845"
"173","0.046260833740234375","0.000352778645652","0.000157767406538","0.0459429247844 - 0.046578742696","0.0458552797106 - 0.0466663877699"
"174","0.0470807154973348","0.000852624134542","0.000381305104819","0.0463123672664 - 0.0478490637283","0.0461005395207 - 0.048060891474"
"175","0.04659914970397949","0.000373302667298","0.000166946028052","0.0462627453818 - 0.0469355540261","0.0461700012766 - 0.0470282981314"
"176","0.052964210510253906","0.00268804949558","0.0012021322798","0.0505418558161 - 0.0553865652044","0.0498740311066 - 0.0560543899139"
"177","0.0487598180770874","0.00143368720667","0.000641164410515","0.0474678407751 - 0.0500517953791","0.0471116524891 - 0.050407983665"
"178","0.04979189236958822","0.00130949428708","0.00058562364841","0.0486118323899 - 0.0509719523493","0.0482864988559 - 0.0512972858833"
"179","0.05036771297454834","0.00147779766212","0.000660891205899","0.0490359852256 - 0.0516994407235","0.0486688380447 - 0.0520665879044"
"180","0.05051795641581217","0.000758556797504","0.000339236912803","0.0498343776267 - 0.0512015352049","0.0496459201695 - 0.0513899926622"
"181","0.05091396967569987","0.00258671207831","0.00115681280907","0.0485829359073 - 0.0532450034441","0.0479402876804 - 0.053887651671"
"182","0.05305143197377523","0.00223389701984","0.000999029118217","0.0510383399749 - 0.0550645239727","0.0504833458682 - 0.0556195180793"
"183","0.051993767420450844","0.000836789794574","0.000374223772709","0.0512396884162 - 0.0527478464247","0.0510317945875 - 0.0529557402534"
"184","0.05424809455871582","0.00246763528065","0.00110356004624","0.0520243676834 - 0.056471821434","0.0514113031482 - 0.0570848859692"
"185","0.05681137243906657","0.00042667220024","0.000190813608769","0.0564268737872 - 0.0571958710909","0.0563208704422 - 0.0573018744359"
"186","0.05698851744333903","0.00099031575398","0.000442882669018","0.0560960874419 - 0.0578809474448","0.0558500512986 - 0.0581269835881"
"187","0.05768366654713949","0.000893368948859","0.000399526739727","0.0568786008404 - 0.0584887322539","0.0566566503668 - 0.0587106827275"
"188","0.05523375670115153","0.00170941943251","0.000764475610632","0.053693301366 - 0.0567742120363","0.0532686095819 - 0.0571989038204"
"189","0.05481680234273275","0.000257923347347","0.00011534682753","0.0545843729056 - 0.0550492317798","0.054520293883 - 0.0551133108025"
"190","0.05687169233957926","0.00183522365545","0.000820736969499","0.0552178676448 - 0.0585255170344","0.0547619207931 - 0.058981463886"
"191","0.05838398138682047","0.00188024953689","0.000840873155828","0.0566895813025 - 0.0600783814711","0.0562224481256 - 0.0605455146481"
"192","0.056592583656311035","0.00190382966006","0.000851418507496","0.0548769341783 - 0.0583082331343","0.0544039427056 - 0.058781224607"
"193","0.05655252933502197","0.000954546318644","0.000426886091232","0.0556923332116 - 0.0574127254585","0.0554551837026 - 0.0576498749674"
"194","0.05994268258412679","0.00162776413141","0.000727958249832","0.0584758114974 - 0.0614095536708","0.0580714063293 - 0.061813958839"
"195","0.061235666275024414","0.00459589747171","0.00205534783287","0.0570940409691 - 0.0653772915809","0.0559522264679 - 0.0665191060821"
