"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"121","0.021170644760131835","0.000823448282847","8.27596663171e-05","0.0210332313421 - 0.0213080581782","0.0210064316273 - 0.0213348578929"
"122","0.021679596900939943","0.000907537061139","9.12109065193e-05","0.0215281511184 - 0.0218310426835","0.0214986146741 - 0.0218605791278"
"123","0.021917963027954103","0.000777782708055","7.8170103365e-05","0.0217881700797 - 0.0220477559762","0.0217628565838 - 0.0220730694722"
"124","0.0225017786026001","0.000995709180026","0.000100072537893","0.0223356190457 - 0.0226679381595","0.0223032129765 - 0.0227003442287"
"125","0.02291775941848755","0.000896353677579","9.00869341814e-05","0.0227681798697 - 0.0230673389673","0.0227390073966 - 0.0230965114404"
"126","0.022915091514587402","0.00084600195503","8.50263956588e-05","0.0227739144392 - 0.02305626859","0.022746380699 - 0.0230838023302"
"127","0.023651154041290284","0.000883875756748","8.88328559523e-05","0.0235036567529 - 0.0237986513297","0.0234748903827 - 0.0238274176999"
"128","0.023978877067565917","0.000742173812204","7.45912746761e-05","0.0238550263748 - 0.0241027277604","0.0238308717959 - 0.0241268823392"
"129","0.024308409690856934","0.00110563244448","0.000111120241648","0.0241239066244 - 0.0244929127573","0.0240879230237 - 0.024528896358"
"130","0.024343390464782715","0.000904169597972","9.08724637369e-05","0.0241925066297 - 0.0244942742999","0.0241630797818 - 0.0245237011478"
"131","0.025353033542633057","0.00120904690341","0.000121513785835","0.0251512731273 - 0.025554793958","0.0251119238289 - 0.0255941432563"
"132","0.027017157077789306","0.00112716173674","0.000113284016934","0.026829061298 - 0.0272052528576","0.0267923770111 - 0.0272419371445"
"133","0.028837051391601563","0.00307220480478","0.000308768200502","0.0283243754022 - 0.029349727381","0.0282243882941 - 0.0294497144891"
"134","0.026920766830444337","0.00115517052352","0.000116099005921","0.0267279970678 - 0.0271135365931","0.0266904012148 - 0.027151132446"
"135","0.02785622835159302","0.00112793875515","0.000113362110222","0.0276680029064 - 0.0280444537968","0.0276312933308 - 0.0280811633724"
"136","0.028434591293334963","0.00206226281456","0.000207265211364","0.0280904499694 - 0.0287787326172","0.0280233321475 - 0.0288458504392"
"137","0.028408079147338866","0.00156573358255","0.000157362145909","0.028146796432 - 0.0286693618627","0.0280958385099 - 0.0287203197848"
"138","0.028982274532318116","0.00126909555871","0.000127548902768","0.0287704934622 - 0.0291940556024","0.0287291898373 - 0.0292353592273"
"139","0.03004692792892456","0.00133788728925","0.000134462731825","0.0298236671982 - 0.0302701886597","0.0297801246971 - 0.0303137311608"
"140","0.03090303182601929","0.00142593971794","0.000143312333881","0.0306650772943 - 0.0311409863577","0.0306186690638 - 0.0311873945883"
"141","0.03142387866973877","0.00151917086205","0.00015268241642","0.0311703661358 - 0.0316773912036","0.0311209236309 - 0.0317268337086"
"142","0.03182309150695801","0.00219000087931","0.000220103369915","0.0314576338181 - 0.0321885491958","0.0313863586693 - 0.0322598243446"
"143","0.033315589427947996","0.00271817892404","0.00027318726073","0.0328619917163 - 0.0337691871396","0.0327735266343 - 0.0338576522216"
"144","0.03358308553695679","0.00246079946699","0.00024731965201","0.0331724381741 - 0.0339937328999","0.033092349691 - 0.0340738213829"
"145","0.03548771619796753","0.00285281638866","0.000286718835059","0.03501165078 - 0.035963781616","0.0349188038251 - 0.0360566285708"
"146","0.03560029983520508","0.00447163677398","0.000449416405395","0.0348540928103 - 0.0363465068601","0.0347085601853 - 0.0364920394851"
"147","0.03538825511932373","0.00194899160719","0.000195881026684","0.035063015995 - 0.0357134942437","0.0349995846657 - 0.0357769255729"
"148","0.03442745447158813","0.00206498023643","0.000207538322538","0.0340828596763 - 0.0347720492669","0.0340156534139 - 0.0348392555293"
"149","0.03363069295883179","0.00142714715855","0.000143433686228","0.0333925369347 - 0.0338688489829","0.0333460894072 - 0.0339152965105"
"150","0.033765485286712645","0.00127985043869","0.000128629808876","0.0335519094897 - 0.0339790610838","0.0335102558395 - 0.034020714734"
"151","0.03469292163848877","0.00130210248206","0.000130866223381","0.0344756325186 - 0.0349102107584","0.0344332546597 - 0.0349525886173"
"152","0.034838051795959474","0.00137758334097","0.000138452335135","0.0346081667632 - 0.0350679368287","0.0345633323256 - 0.0351127712663"
"153","0.03557025194168091","0.00144867354738","0.000145597169708","0.0353285036888 - 0.0358120001946","0.0352813555695 - 0.0358591483139"
"154","0.03591651916503906","0.00144080066562","0.00014480591532","0.0356760847039 - 0.0361569536262","0.0356291928132 - 0.0362038455169"
"155","0.03697347164154053","0.00177074365278","0.000177966433217","0.0366779777498 - 0.0372689655333","0.036620347628 - 0.0373265956551"
"156","0.04021299123764038","0.00389870110685","0.000391834204278","0.0395623931902 - 0.040863589285","0.0394355071673 - 0.0409904753079"
"157","0.03911559820175171","0.00215061692638","0.000216145133715","0.0387567127333 - 0.0394744836702","0.0386867193634 - 0.0395444770401"
"158","0.038224270343780516","0.0016386196942","0.000164687475749","0.0379508247155 - 0.038497715972","0.0378974946627 - 0.0385510460249"
"159","0.03938632249832153","0.00205131920956","0.000206165337678","0.039044007395 - 0.0397286376017","0.0389772457405 - 0.0397953992562"
"160","0.039807796478271484","0.00213823272889","0.000214900475036","0.0394509776301 - 0.0401646153264","0.0393813873128 - 0.0402342056437"
"161","0.0406319785118103","0.00184743116981","0.000185673818675","0.0403236873454 - 0.0409402696782","0.0402635613733 - 0.0410003956503"
"162","0.03986201286315918","0.00142310682258","0.000143027617184","0.0396245310725 - 0.0400994946538","0.0395782150406 - 0.0401458106857"
"163","0.0410825514793396","0.0021542818666","0.000216513474066","0.0407230544218 - 0.0414420485368","0.0406529417739 - 0.0415121611848"
"164","0.0419089150428772","0.00250516093232","0.000251778147029","0.0414908648343 - 0.0423269652515","0.0414093325755 - 0.0424084975102"
"165","0.04309991598129272","0.00169876499659","0.000170732306081","0.0428164335702 - 0.0433833983924","0.0427611460454 - 0.0434386859172"
"166","0.04367581129074097","0.00210042000078","0.000211100152871","0.0433253024639 - 0.0440263201176","0.0432569427889 - 0.0440946797925"
"167","0.043423745632171634","0.00142795693153","0.000143515071475","0.0431854544767 - 0.0436620367876","0.0431389805946 - 0.0437085106698"
"168","0.04457170963287353","0.00245241760762","0.000246477243447","0.0441624609977 - 0.044980958268","0.0440826453083 - 0.0450607739575"
"169","0.04614595890045166","0.00235748534965","0.000236936192532","0.0457525521418 - 0.0465393656591","0.0456758260908 - 0.0466160917101"
"170","0.04615211248397827","0.00185442170728","0.000186376394125","0.0458426547675 - 0.0464615702005","0.0457823012834 - 0.0465219236846"
"171","0.04509902000427246","0.0016763422027","0.000168478730503","0.0448192794102 - 0.0453787605984","0.0447647216512 - 0.0454333183573"
"172","0.046121983528137206","0.00241793364765","0.000243011475067","0.0457184894241 - 0.0465254776321","0.0456397960399 - 0.0466041710164"
"173","0.046246671676635744","0.00130541693458","0.000131199338393","0.0460288294555 - 0.0464645138978","0.0459863437254 - 0.0465069996279"
"174","0.048336169719696044","0.00314792159602","0.000316378024347","0.0478108584461 - 0.0488614809933","0.0477084070807 - 0.0489639323587"
"175","0.04741673469543457","0.00242762934754","0.000243985929571","0.0470116226158 - 0.0478218467751","0.0469326136781 - 0.0479008557128"
"176","0.04829058885574341","0.00210707639432","0.000211769145594","0.0479389692393 - 0.0486422084722","0.0478703929272 - 0.0487107847842"
"177","0.047823281288146974","0.000918114692189","9.22739984395e-05","0.0476700703572 - 0.0479764922191","0.0476401896563 - 0.04800637292"
"178","0.048314452171325684","0.00100420640199","0.000100926540832","0.0481468746355 - 0.0484820297071","0.0481141920181 - 0.0485147123245"
"179","0.048756422996521","0.00115806002582","0.000116389411829","0.0485631710465 - 0.0489496749466","0.0485254811526 - 0.0489873648404"
"180","0.049809236526489255","0.0030604432116","0.000307586115911","0.0492985232599 - 0.0503199497931","0.0491989189413 - 0.0504195541117"
"181","0.04953592300415039","0.000994218978904","9.99227670447e-05","0.0493700121255 - 0.0497018338828","0.0493376545559 - 0.0497341914524"
"182","0.050427563190460205","0.00106561691756","0.000107098529872","0.0502497377386 - 0.0506053886423","0.050215056472 - 0.0506400699089"
"183","0.051479830741882324","0.00233936597336","0.000235115126696","0.0510894476649 - 0.0518702138189","0.0510133113219 - 0.0519463501618"
"184","0.053563978672027585","0.00248201316254","0.000249451708632","0.0531497912612 - 0.0539781660829","0.0530690123632 - 0.0540589449809"
"185","0.0530369234085083","0.00333812553508","0.000335494239484","0.0524798717404 - 0.0535939750766","0.0523712300514 - 0.0537026167656"
"186","0.052119524478912355","0.000877136011572","8.81554860756e-05","0.0519731518895 - 0.0522658970683","0.0519446048691 - 0.0522944440888"
"187","0.05278669834136963","0.00108474473339","0.000109020947696","0.052605680924 - 0.0529677157587","0.0525703771289 - 0.0530030195539"
"188","0.0572524881362915","0.0108714291138","0.00109261973653","0.0554383119889 - 0.0590666642837","0.0550844935335 - 0.0594204827391"
"189","0.05723748922348022","0.0103722267048","0.00104244800668","0.0555066177726 - 0.0589683606744","0.0551690462176 - 0.0593059322294"
"190","0.05629787921905518","0.00516356058632","0.000518957365064","0.0554362069998 - 0.0571595514383","0.0552681552182 - 0.0573276032199"
"191","0.05460592985153198","0.00210322385281","0.000211381950603","0.0542549531302 - 0.0549569065729","0.0541865022019 - 0.0550253575012"
"192","0.054056620597839354","0.00198164631604","0.000199162948409","0.0537259321997 - 0.054387308996","0.0536614380995 - 0.0544518030962"
"193","0.05361567258834839","0.00160533304008","0.000161342041137","0.0533477816902 - 0.0538835634865","0.0532955349753 - 0.0539358102014"
"194","0.05556813955307007","0.00188605396355","0.000189555555499","0.0552534031851 - 0.055882875921","0.0551920202066 - 0.0559442588995"
"195","0.05553975820541382","0.00162286023097","0.000163103590101","0.0552689424469 - 0.0558105739639","0.0552161252971 - 0.0558633911137"
"196","0.06007836580276489","0.00469295472362","0.000471659696254","0.0592952262145 - 0.0608615053911","0.0591424906381 - 0.0610142409674"
"197","0.05745123386383057","0.00222830667142","0.000223953246877","0.0570793838734 - 0.0578230838543","0.057006862035 - 0.0578956056926"
"198","0.05758975744247437","0.00168297091049","0.000169144940702","0.0573089106789 - 0.0578706042061","0.0572541371839 - 0.0579253777011"
"199","0.05786397933959961","0.00191224058336","0.000192187409815","0.057544873064 - 0.0581830856151","0.0574826378232 - 0.058245320856"
"200","0.06149295806884766","0.0102750927649","0.00103268567841","0.0597782959015 - 0.0632076202362","0.0594438856402 - 0.0635420304975"
"201","0.06220168352127075","0.00119978068641","0.000120582495986","0.0620014694114 - 0.0624018976312","0.0619624216887 - 0.0624409453539"
"202","0.06426674604415894","0.00637900990278","0.000641114617621","0.0632022450031 - 0.0653312470852","0.062994635552 - 0.0655388565363"
"203","0.06343077659606934","0.00370848525113","0.000372716791472","0.0628119209318 - 0.0640496322603","0.0626912256203 - 0.0641703275718"
"204","0.06350510597229003","0.00190027466851","0.000190984790123","0.0631879965158 - 0.0638222154287","0.0631261507142 - 0.0638840612303"
"205","0.06419674634933471","0.00264143362148","0.000265474067609","0.0637559555553 - 0.0646375371433","0.0636699882042 - 0.0647235044945"
"206","0.06359832048416138","0.00220306154141","0.000221416015846","0.0632306832897 - 0.0639659576787","0.0631589830722 - 0.0640376578961"
"207","0.06306414604187012","0.00176299425946","0.000177187589884","0.0627699453347 - 0.0633583467491","0.0627125674224 - 0.0634157246613"
"208","0.06451752185821533","0.00237947606885","0.000239146342969","0.0641204453854 - 0.0649145983311","0.0640430036306 - 0.0649920400858"
